test_index,image_id,source_path,source_record_index,true_class,vit_scratch_predicted_class,vit_scratch_confidence,vit_scratch_correct,vit_scratch_failure_image,mamba_scratch_predicted_class,mamba_scratch_confidence,mamba_scratch_correct,mamba_scratch_failure_image,vit_pretrained_finetuned_predicted_class,vit_pretrained_finetuned_confidence,vit_pretrained_finetuned_correct,vit_pretrained_finetuned_failure_image,mamba_kd_from_scratch_vit_predicted_class,mamba_kd_from_scratch_vit_confidence,mamba_kd_from_scratch_vit_correct,mamba_kd_from_scratch_vit_failure_image,mamba_kd_from_pretrained_vit_predicted_class,mamba_kd_from_pretrained_vit_confidence,mamba_kd_from_pretrained_vit_correct,mamba_kd_from_pretrained_vit_failure_image,failure_count,failed_models,failed_three_or_more,failed_all_models,scratch_pair_teacher_failed_student_passed,scratch_pair_student_failed_teacher_passed,pretrained_pair_teacher_failed_student_passed,pretrained_pair_student_failed_teacher_passed
118,cifar10_test_00118,/home/tariq/Desktop/Awais-Tariq/base-KD/data/cifar-10-batches-py/test_batch,118,bird,cat,0.9810173511505127,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/vit_scratch/failure_images/00118_true-bird_pred-cat.png,cat,0.9983869791030884,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_scratch/failure_images/00118_true-bird_pred-cat.png,bird,0.9999974966049194,True,,cat,0.9971332550048828,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_kd_from_scratch_vit/failure_images/00118_true-bird_pred-cat.png,cat,0.9871282577514648,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_kd_from_pretrained_vit/failure_images/00118_true-bird_pred-cat.png,4,vit_scratch;mamba_scratch;mamba_kd_from_scratch_vit;mamba_kd_from_pretrained_vit,True,False,False,False,False,True
125,cifar10_test_00125,/home/tariq/Desktop/Awais-Tariq/base-KD/data/cifar-10-batches-py/test_batch,125,airplane,bird,0.5763949155807495,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/vit_scratch/failure_images/00125_true-airplane_pred-bird.png,bird,0.859119713306427,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_scratch/failure_images/00125_true-airplane_pred-bird.png,bird,0.9861831665039062,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/vit_pretrained_finetuned/failure_images/00125_true-airplane_pred-bird.png,truck,0.5698850750923157,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_kd_from_scratch_vit/failure_images/00125_true-airplane_pred-truck.png,bird,0.8352269530296326,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_kd_from_pretrained_vit/failure_images/00125_true-airplane_pred-bird.png,5,vit_scratch;mamba_scratch;vit_pretrained_finetuned;mamba_kd_from_scratch_vit;mamba_kd_from_pretrained_vit,True,True,False,False,False,False
129,cifar10_test_00129,/home/tariq/Desktop/Awais-Tariq/base-KD/data/cifar-10-batches-py/test_batch,129,bird,airplane,0.9727373719215393,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/vit_scratch/failure_images/00129_true-bird_pred-airplane.png,airplane,0.8778870701789856,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_scratch/failure_images/00129_true-bird_pred-airplane.png,bird,0.9999995231628418,True,,airplane,0.9939800500869751,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_kd_from_scratch_vit/failure_images/00129_true-bird_pred-airplane.png,bird,0.986088216304779,True,,3,vit_scratch;mamba_scratch;mamba_kd_from_scratch_vit,True,False,False,False,False,False
139,cifar10_test_00139,/home/tariq/Desktop/Awais-Tariq/base-KD/data/cifar-10-batches-py/test_batch,139,truck,ship,0.9999939203262329,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/vit_scratch/failure_images/00139_true-truck_pred-ship.png,ship,0.7395556569099426,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_scratch/failure_images/00139_true-truck_pred-ship.png,truck,0.9999983310699463,True,,ship,0.9990631937980652,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_kd_from_scratch_vit/failure_images/00139_true-truck_pred-ship.png,truck,0.81068354845047,True,,3,vit_scratch;mamba_scratch;mamba_kd_from_scratch_vit,True,False,False,False,False,False
145,cifar10_test_00145,/home/tariq/Desktop/Awais-Tariq/base-KD/data/cifar-10-batches-py/test_batch,145,horse,cat,0.7770205140113831,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/vit_scratch/failure_images/00145_true-horse_pred-cat.png,dog,0.4916272461414337,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_scratch/failure_images/00145_true-horse_pred-dog.png,horse,0.9999997615814209,True,,dog,0.4641970992088318,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_kd_from_scratch_vit/failure_images/00145_true-horse_pred-dog.png,horse,0.9999911785125732,True,,3,vit_scratch;mamba_scratch;mamba_kd_from_scratch_vit,True,False,False,False,False,False
147,cifar10_test_00147,/home/tariq/Desktop/Awais-Tariq/base-KD/data/cifar-10-batches-py/test_batch,147,bird,cat,0.5435674786567688,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/vit_scratch/failure_images/00147_true-bird_pred-cat.png,dog,0.7742945551872253,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_scratch/failure_images/00147_true-bird_pred-dog.png,bird,0.9810683131217957,True,,dog,0.8881279230117798,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_kd_from_scratch_vit/failure_images/00147_true-bird_pred-dog.png,dog,0.9971816539764404,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_kd_from_pretrained_vit/failure_images/00147_true-bird_pred-dog.png,4,vit_scratch;mamba_scratch;mamba_kd_from_scratch_vit;mamba_kd_from_pretrained_vit,True,False,False,False,False,True
165,cifar10_test_00165,/home/tariq/Desktop/Awais-Tariq/base-KD/data/cifar-10-batches-py/test_batch,165,deer,bird,0.9770259261131287,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/vit_scratch/failure_images/00165_true-deer_pred-bird.png,bird,0.9961287975311279,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_scratch/failure_images/00165_true-deer_pred-bird.png,deer,0.9999841451644897,True,,bird,0.5485126376152039,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_kd_from_scratch_vit/failure_images/00165_true-deer_pred-bird.png,bird,0.9999685287475586,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_kd_from_pretrained_vit/failure_images/00165_true-deer_pred-bird.png,4,vit_scratch;mamba_scratch;mamba_kd_from_scratch_vit;mamba_kd_from_pretrained_vit,True,False,False,False,False,True
169,cifar10_test_00169,/home/tariq/Desktop/Awais-Tariq/base-KD/data/cifar-10-batches-py/test_batch,169,airplane,ship,0.6704633831977844,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/vit_scratch/failure_images/00169_true-airplane_pred-ship.png,airplane,0.8295594453811646,True,,airplane,0.9999995231628418,True,,deer,0.6139165163040161,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_kd_from_scratch_vit/failure_images/00169_true-airplane_pred-deer.png,ship,0.9913228750228882,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_kd_from_pretrained_vit/failure_images/00169_true-airplane_pred-ship.png,3,vit_scratch;mamba_kd_from_scratch_vit;mamba_kd_from_pretrained_vit,True,False,False,False,False,True
178,cifar10_test_00178,/home/tariq/Desktop/Awais-Tariq/base-KD/data/cifar-10-batches-py/test_batch,178,dog,cat,0.9166356921195984,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/vit_scratch/failure_images/00178_true-dog_pred-cat.png,cat,0.9999998807907104,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_scratch/failure_images/00178_true-dog_pred-cat.png,dog,0.9999994039535522,True,,cat,0.7980678081512451,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_kd_from_scratch_vit/failure_images/00178_true-dog_pred-cat.png,cat,0.999924898147583,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_kd_from_pretrained_vit/failure_images/00178_true-dog_pred-cat.png,4,vit_scratch;mamba_scratch;mamba_kd_from_scratch_vit;mamba_kd_from_pretrained_vit,True,False,False,False,False,True
188,cifar10_test_00188,/home/tariq/Desktop/Awais-Tariq/base-KD/data/cifar-10-batches-py/test_batch,188,deer,cat,0.9999032020568848,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/vit_scratch/failure_images/00188_true-deer_pred-cat.png,cat,0.9996792078018188,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_scratch/failure_images/00188_true-deer_pred-cat.png,deer,0.9999970197677612,True,,cat,0.5372999310493469,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_kd_from_scratch_vit/failure_images/00188_true-deer_pred-cat.png,cat,0.9998207688331604,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_kd_from_pretrained_vit/failure_images/00188_true-deer_pred-cat.png,4,vit_scratch;mamba_scratch;mamba_kd_from_scratch_vit;mamba_kd_from_pretrained_vit,True,False,False,False,False,True
201,cifar10_test_00201,/home/tariq/Desktop/Awais-Tariq/base-KD/data/cifar-10-batches-py/test_batch,201,automobile,airplane,0.702755331993103,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/vit_scratch/failure_images/00201_true-automobile_pred-airplane.png,airplane,0.9994801878929138,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_scratch/failure_images/00201_true-automobile_pred-airplane.png,automobile,0.9999978542327881,True,,airplane,0.5232364535331726,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_kd_from_scratch_vit/failure_images/00201_true-automobile_pred-airplane.png,automobile,0.9485832452774048,True,,3,vit_scratch;mamba_scratch;mamba_kd_from_scratch_vit,True,False,False,False,False,False
258,cifar10_test_00258,/home/tariq/Desktop/Awais-Tariq/base-KD/data/cifar-10-batches-py/test_batch,258,airplane,ship,0.9353539943695068,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/vit_scratch/failure_images/00258_true-airplane_pred-ship.png,airplane,0.9981265664100647,True,,airplane,0.9999998807907104,True,,ship,0.9677067995071411,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_kd_from_scratch_vit/failure_images/00258_true-airplane_pred-ship.png,ship,0.5372495651245117,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_kd_from_pretrained_vit/failure_images/00258_true-airplane_pred-ship.png,3,vit_scratch;mamba_kd_from_scratch_vit;mamba_kd_from_pretrained_vit,True,False,False,False,False,True
262,cifar10_test_00262,/home/tariq/Desktop/Awais-Tariq/base-KD/data/cifar-10-batches-py/test_batch,262,dog,automobile,0.7904483675956726,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/vit_scratch/failure_images/00262_true-dog_pred-automobile.png,cat,0.7689348459243774,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_scratch/failure_images/00262_true-dog_pred-cat.png,dog,0.9999996423721313,True,,automobile,0.8592276573181152,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_kd_from_scratch_vit/failure_images/00262_true-dog_pred-automobile.png,cat,0.9679849743843079,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_kd_from_pretrained_vit/failure_images/00262_true-dog_pred-cat.png,4,vit_scratch;mamba_scratch;mamba_kd_from_scratch_vit;mamba_kd_from_pretrained_vit,True,False,False,False,False,True
263,cifar10_test_00263,/home/tariq/Desktop/Awais-Tariq/base-KD/data/cifar-10-batches-py/test_batch,263,horse,dog,0.8064890503883362,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/vit_scratch/failure_images/00263_true-horse_pred-dog.png,dog,0.7857076525688171,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_scratch/failure_images/00263_true-horse_pred-dog.png,horse,0.9999996423721313,True,,cat,0.504989504814148,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_kd_from_scratch_vit/failure_images/00263_true-horse_pred-cat.png,cat,0.9822399616241455,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_kd_from_pretrained_vit/failure_images/00263_true-horse_pred-cat.png,4,vit_scratch;mamba_scratch;mamba_kd_from_scratch_vit;mamba_kd_from_pretrained_vit,True,False,False,False,False,True
271,cifar10_test_00271,/home/tariq/Desktop/Awais-Tariq/base-KD/data/cifar-10-batches-py/test_batch,271,cat,bird,0.8938266038894653,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/vit_scratch/failure_images/00271_true-cat_pred-bird.png,dog,0.9605243802070618,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_scratch/failure_images/00271_true-cat_pred-dog.png,cat,0.9994681477546692,True,,deer,0.4333139955997467,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_kd_from_scratch_vit/failure_images/00271_true-cat_pred-deer.png,dog,0.9996263980865479,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_kd_from_pretrained_vit/failure_images/00271_true-cat_pred-dog.png,4,vit_scratch;mamba_scratch;mamba_kd_from_scratch_vit;mamba_kd_from_pretrained_vit,True,False,False,False,False,True
275,cifar10_test_00275,/home/tariq/Desktop/Awais-Tariq/base-KD/data/cifar-10-batches-py/test_batch,275,dog,cat,0.55023193359375,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/vit_scratch/failure_images/00275_true-dog_pred-cat.png,dog,0.824009120464325,True,,cat,0.9998375177383423,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/vit_pretrained_finetuned/failure_images/00275_true-dog_pred-cat.png,dog,0.94889235496521,True,,cat,0.9734212160110474,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_kd_from_pretrained_vit/failure_images/00275_true-dog_pred-cat.png,3,vit_scratch;vit_pretrained_finetuned;mamba_kd_from_pretrained_vit,True,False,True,False,False,False
287,cifar10_test_00287,/home/tariq/Desktop/Awais-Tariq/base-KD/data/cifar-10-batches-py/test_batch,287,airplane,ship,0.9999864101409912,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/vit_scratch/failure_images/00287_true-airplane_pred-ship.png,ship,0.9998632669448853,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_scratch/failure_images/00287_true-airplane_pred-ship.png,airplane,0.9999996423721313,True,,ship,0.9989547729492188,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_kd_from_scratch_vit/failure_images/00287_true-airplane_pred-ship.png,ship,0.9909060001373291,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_kd_from_pretrained_vit/failure_images/00287_true-airplane_pred-ship.png,4,vit_scratch;mamba_scratch;mamba_kd_from_scratch_vit;mamba_kd_from_pretrained_vit,True,False,False,False,False,True
308,cifar10_test_00308,/home/tariq/Desktop/Awais-Tariq/base-KD/data/cifar-10-batches-py/test_batch,308,automobile,truck,0.5396113991737366,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/vit_scratch/failure_images/00308_true-automobile_pred-truck.png,automobile,0.9747862815856934,True,,automobile,0.9999549388885498,True,,truck,0.9940353631973267,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_kd_from_scratch_vit/failure_images/00308_true-automobile_pred-truck.png,truck,0.9615762829780579,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_kd_from_pretrained_vit/failure_images/00308_true-automobile_pred-truck.png,3,vit_scratch;mamba_kd_from_scratch_vit;mamba_kd_from_pretrained_vit,True,False,False,False,False,True
309,cifar10_test_00309,/home/tariq/Desktop/Awais-Tariq/base-KD/data/cifar-10-batches-py/test_batch,309,frog,deer,0.8311293125152588,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/vit_scratch/failure_images/00309_true-frog_pred-deer.png,deer,0.9987947940826416,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_scratch/failure_images/00309_true-frog_pred-deer.png,frog,0.9999980926513672,True,,deer,0.5116719007492065,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_kd_from_scratch_vit/failure_images/00309_true-frog_pred-deer.png,bird,0.9996080994606018,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_kd_from_pretrained_vit/failure_images/00309_true-frog_pred-bird.png,4,vit_scratch;mamba_scratch;mamba_kd_from_scratch_vit;mamba_kd_from_pretrained_vit,True,False,False,False,False,True
