test_index,image_id,source_path,source_record_index,true_class,vit_scratch_predicted_class,vit_scratch_confidence,vit_scratch_correct,vit_scratch_failure_image,mamba_scratch_predicted_class,mamba_scratch_confidence,mamba_scratch_correct,mamba_scratch_failure_image,vit_pretrained_finetuned_predicted_class,vit_pretrained_finetuned_confidence,vit_pretrained_finetuned_correct,vit_pretrained_finetuned_failure_image,mamba_kd_from_scratch_vit_predicted_class,mamba_kd_from_scratch_vit_confidence,mamba_kd_from_scratch_vit_correct,mamba_kd_from_scratch_vit_failure_image,mamba_kd_from_pretrained_vit_predicted_class,mamba_kd_from_pretrained_vit_confidence,mamba_kd_from_pretrained_vit_correct,mamba_kd_from_pretrained_vit_failure_image,failure_count,failed_models,failed_three_or_more,failed_all_models,scratch_pair_teacher_failed_student_passed,scratch_pair_student_failed_teacher_passed,pretrained_pair_teacher_failed_student_passed,pretrained_pair_student_failed_teacher_passed
2592,cifar10_test_02592,/home/tariq/Desktop/Awais-Tariq/base-KD/data/cifar-10-batches-py/test_batch,2592,bird,deer,0.9999891519546509,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/vit_scratch/failure_images/02592_true-bird_pred-deer.png,deer,0.9797199368476868,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_scratch/failure_images/02592_true-bird_pred-deer.png,deer,0.9989567995071411,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/vit_pretrained_finetuned/failure_images/02592_true-bird_pred-deer.png,deer,0.9806446433067322,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_kd_from_scratch_vit/failure_images/02592_true-bird_pred-deer.png,dog,0.9994884729385376,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_kd_from_pretrained_vit/failure_images/02592_true-bird_pred-dog.png,5,vit_scratch;mamba_scratch;vit_pretrained_finetuned;mamba_kd_from_scratch_vit;mamba_kd_from_pretrained_vit,True,True,False,False,False,False
2804,cifar10_test_02804,/home/tariq/Desktop/Awais-Tariq/base-KD/data/cifar-10-batches-py/test_batch,2804,cat,bird,0.7844270467758179,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/vit_scratch/failure_images/02804_true-cat_pred-bird.png,dog,0.8971405029296875,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_scratch/failure_images/02804_true-cat_pred-dog.png,dog,0.9999988079071045,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/vit_pretrained_finetuned/failure_images/02804_true-cat_pred-dog.png,dog,0.9987152814865112,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_kd_from_scratch_vit/failure_images/02804_true-cat_pred-dog.png,dog,0.9997681975364685,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_kd_from_pretrained_vit/failure_images/02804_true-cat_pred-dog.png,5,vit_scratch;mamba_scratch;vit_pretrained_finetuned;mamba_kd_from_scratch_vit;mamba_kd_from_pretrained_vit,True,True,False,False,False,False
2854,cifar10_test_02854,/home/tariq/Desktop/Awais-Tariq/base-KD/data/cifar-10-batches-py/test_batch,2854,truck,airplane,0.5260893106460571,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/vit_scratch/failure_images/02854_true-truck_pred-airplane.png,horse,0.9999058246612549,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_scratch/failure_images/02854_true-truck_pred-horse.png,automobile,0.9999958276748657,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/vit_pretrained_finetuned/failure_images/02854_true-truck_pred-automobile.png,airplane,0.36287665367126465,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_kd_from_scratch_vit/failure_images/02854_true-truck_pred-airplane.png,horse,0.9991920590400696,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_kd_from_pretrained_vit/failure_images/02854_true-truck_pred-horse.png,5,vit_scratch;mamba_scratch;vit_pretrained_finetuned;mamba_kd_from_scratch_vit;mamba_kd_from_pretrained_vit,True,True,False,False,False,False
3059,cifar10_test_03059,/home/tariq/Desktop/Awais-Tariq/base-KD/data/cifar-10-batches-py/test_batch,3059,dog,bird,0.9997833371162415,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/vit_scratch/failure_images/03059_true-dog_pred-bird.png,cat,0.8241228461265564,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_scratch/failure_images/03059_true-dog_pred-cat.png,deer,0.9619340896606445,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/vit_pretrained_finetuned/failure_images/03059_true-dog_pred-deer.png,bird,0.959496796131134,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_kd_from_scratch_vit/failure_images/03059_true-dog_pred-bird.png,cat,0.7614689469337463,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_kd_from_pretrained_vit/failure_images/03059_true-dog_pred-cat.png,5,vit_scratch;mamba_scratch;vit_pretrained_finetuned;mamba_kd_from_scratch_vit;mamba_kd_from_pretrained_vit,True,True,False,False,False,False
3192,cifar10_test_03192,/home/tariq/Desktop/Awais-Tariq/base-KD/data/cifar-10-batches-py/test_batch,3192,dog,deer,0.9983989596366882,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/vit_scratch/failure_images/03192_true-dog_pred-deer.png,deer,0.9999887943267822,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_scratch/failure_images/03192_true-dog_pred-deer.png,deer,0.9999979734420776,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/vit_pretrained_finetuned/failure_images/03192_true-dog_pred-deer.png,deer,0.9995771050453186,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_kd_from_scratch_vit/failure_images/03192_true-dog_pred-deer.png,deer,0.9824492931365967,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_kd_from_pretrained_vit/failure_images/03192_true-dog_pred-deer.png,5,vit_scratch;mamba_scratch;vit_pretrained_finetuned;mamba_kd_from_scratch_vit;mamba_kd_from_pretrained_vit,True,True,False,False,False,False
3343,cifar10_test_03343,/home/tariq/Desktop/Awais-Tariq/base-KD/data/cifar-10-batches-py/test_batch,3343,cat,dog,0.9987949132919312,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/vit_scratch/failure_images/03343_true-cat_pred-dog.png,dog,0.6149416565895081,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_scratch/failure_images/03343_true-cat_pred-dog.png,dog,0.9999051094055176,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/vit_pretrained_finetuned/failure_images/03343_true-cat_pred-dog.png,dog,0.5998051762580872,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_kd_from_scratch_vit/failure_images/03343_true-cat_pred-dog.png,dog,0.4567188024520874,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_kd_from_pretrained_vit/failure_images/03343_true-cat_pred-dog.png,5,vit_scratch;mamba_scratch;vit_pretrained_finetuned;mamba_kd_from_scratch_vit;mamba_kd_from_pretrained_vit,True,True,False,False,False,False
3450,cifar10_test_03450,/home/tariq/Desktop/Awais-Tariq/base-KD/data/cifar-10-batches-py/test_batch,3450,truck,automobile,0.8755778670310974,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/vit_scratch/failure_images/03450_true-truck_pred-automobile.png,automobile,0.9947644472122192,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_scratch/failure_images/03450_true-truck_pred-automobile.png,automobile,0.9999946355819702,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/vit_pretrained_finetuned/failure_images/03450_true-truck_pred-automobile.png,automobile,0.9526010751724243,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_kd_from_scratch_vit/failure_images/03450_true-truck_pred-automobile.png,automobile,0.9999998807907104,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_kd_from_pretrained_vit/failure_images/03450_true-truck_pred-automobile.png,5,vit_scratch;mamba_scratch;vit_pretrained_finetuned;mamba_kd_from_scratch_vit;mamba_kd_from_pretrained_vit,True,True,False,False,False,False
3501,cifar10_test_03501,/home/tariq/Desktop/Awais-Tariq/base-KD/data/cifar-10-batches-py/test_batch,3501,truck,automobile,0.999441921710968,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/vit_scratch/failure_images/03501_true-truck_pred-automobile.png,automobile,1.0,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_scratch/failure_images/03501_true-truck_pred-automobile.png,automobile,0.9963746666908264,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/vit_pretrained_finetuned/failure_images/03501_true-truck_pred-automobile.png,automobile,0.9999135732650757,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_kd_from_scratch_vit/failure_images/03501_true-truck_pred-automobile.png,automobile,0.9978029131889343,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_kd_from_pretrained_vit/failure_images/03501_true-truck_pred-automobile.png,5,vit_scratch;mamba_scratch;vit_pretrained_finetuned;mamba_kd_from_scratch_vit;mamba_kd_from_pretrained_vit,True,True,False,False,False,False
3560,cifar10_test_03560,/home/tariq/Desktop/Awais-Tariq/base-KD/data/cifar-10-batches-py/test_batch,3560,automobile,truck,0.9998985528945923,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/vit_scratch/failure_images/03560_true-automobile_pred-truck.png,truck,0.9997355341911316,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_scratch/failure_images/03560_true-automobile_pred-truck.png,truck,0.9999985694885254,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/vit_pretrained_finetuned/failure_images/03560_true-automobile_pred-truck.png,truck,0.991413950920105,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_kd_from_scratch_vit/failure_images/03560_true-automobile_pred-truck.png,truck,0.9999861717224121,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_kd_from_pretrained_vit/failure_images/03560_true-automobile_pred-truck.png,5,vit_scratch;mamba_scratch;vit_pretrained_finetuned;mamba_kd_from_scratch_vit;mamba_kd_from_pretrained_vit,True,True,False,False,False,False
3600,cifar10_test_03600,/home/tariq/Desktop/Awais-Tariq/base-KD/data/cifar-10-batches-py/test_batch,3600,deer,dog,0.9608442187309265,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/vit_scratch/failure_images/03600_true-deer_pred-dog.png,dog,0.7384610176086426,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_scratch/failure_images/03600_true-deer_pred-dog.png,dog,0.9999874830245972,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/vit_pretrained_finetuned/failure_images/03600_true-deer_pred-dog.png,bird,0.6234559416770935,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_kd_from_scratch_vit/failure_images/03600_true-deer_pred-bird.png,cat,0.9810997843742371,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_kd_from_pretrained_vit/failure_images/03600_true-deer_pred-cat.png,5,vit_scratch;mamba_scratch;vit_pretrained_finetuned;mamba_kd_from_scratch_vit;mamba_kd_from_pretrained_vit,True,True,False,False,False,False
3645,cifar10_test_03645,/home/tariq/Desktop/Awais-Tariq/base-KD/data/cifar-10-batches-py/test_batch,3645,automobile,truck,0.9922283291816711,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/vit_scratch/failure_images/03645_true-automobile_pred-truck.png,truck,0.999998927116394,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_scratch/failure_images/03645_true-automobile_pred-truck.png,truck,0.9954715967178345,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/vit_pretrained_finetuned/failure_images/03645_true-automobile_pred-truck.png,truck,0.9994449019432068,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_kd_from_scratch_vit/failure_images/03645_true-automobile_pred-truck.png,truck,0.9999972581863403,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_kd_from_pretrained_vit/failure_images/03645_true-automobile_pred-truck.png,5,vit_scratch;mamba_scratch;vit_pretrained_finetuned;mamba_kd_from_scratch_vit;mamba_kd_from_pretrained_vit,True,True,False,False,False,False
3789,cifar10_test_03789,/home/tariq/Desktop/Awais-Tariq/base-KD/data/cifar-10-batches-py/test_batch,3789,truck,dog,0.9242660403251648,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/vit_scratch/failure_images/03789_true-truck_pred-dog.png,cat,0.8437319993972778,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_scratch/failure_images/03789_true-truck_pred-cat.png,automobile,0.9999997615814209,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/vit_pretrained_finetuned/failure_images/03789_true-truck_pred-automobile.png,automobile,0.7990826368331909,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_kd_from_scratch_vit/failure_images/03789_true-truck_pred-automobile.png,automobile,0.9999998807907104,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_kd_from_pretrained_vit/failure_images/03789_true-truck_pred-automobile.png,5,vit_scratch;mamba_scratch;vit_pretrained_finetuned;mamba_kd_from_scratch_vit;mamba_kd_from_pretrained_vit,True,True,False,False,False,False
